english word,turkish meaning,word level
grip,kavramak,B1
groan,inlemek,B2
groom,temizlemek,B1
grope,yoklamak,C1
gross,kaba,B1
grumble,söylenmek,B2
grunt,homurdanmak,B1
guarantee,garanti,B1
guile,hile,C1
gullible,saf,B2
gush,coşmak,C1
hack,kesmek,B1
haggard,bitkin,C1
halt,durdurmak,B2
hamper,engellemek,B2
handy,kullanışlı,B1
haphazard,rastgele,C1
harass,taciz etmek,B2
harbor,barındırmak,B2
hardy,dayanıklı,C1
harmony,ahenk,B1
harsh,sert,B1
hasty,aceleci,B2
hatch,yumurtadan çıkmak,B1
haunt,musallat olmak,C1
haven,sığınak,C1
havoc,kaos,C1
hazard,tehlike,B2
hazy,bulanık,C1
headstrong,inatçı,C1
heal,iyileşmek,B1
heave,kaldırmak,C1
hectic,yoğun,B2
heed,dikkat etmek,C1
heinous,iğrenç,C1
herald,haberci,C1
herd,sürü,B1
hesitate,tereddüt etmek,B1
hibernate,kış uykusuna yatmak,B2
hideous,çirkin,C1
hike,yürüyüş,B1
hilarious,çok komik,B2
hinder,engel olmak,B2
hoard,biriktirmek,C1
hoarse,boğuk,C1
hoist,kaldırmak,C1
hollow,içi boş,B1
homage,hürmet,C1
homicide,cinayet,C1
horde,kalabalık,C1
horrendous,korkunç,C1
hostile,düşmanca,B2
hover,havada durmak,B2
howl,ulumak,B1
huddle,toplanmak,C1
humble,mütevazı,B1
humiliate,aşağılamak,B2
hurl,fırlatmak,B2
hurry,acele etmek,A1
hush,sessizlik,C1
hustle,acele ettirmek,C1
hygiene,sağlık kuralları,B1
hypocrite,ikiyüzlü,B2
hysterical,isterik,B2
idealist,idealist,B2
idle,boş,B1
ignite,tutuşturmak,B2
ignorant,cahil,B1
illuminate,aydınlatmak,B2
illusion,yanılsama,B2
immaculate,lekesiz,C1
immense,muazzam,B2
immerse,daldırmak,C1
imminent,yakın,C1
immune,bağışık,B2
impair,zarar vermek,C1
impart,aktarmak,C1
impeccable,kusursuz,C1
impede,engellemek,C1
impending,yaklaşan,C1
imperative,zorunlu,B2
imperial,imparatorluk,C1
impetuous,düşüncesiz,C1
implement,uygulamak,B2
implicate,suç ortağı yapmak,C1
impose,dayatmak,B2
impoverish,yoksullaştırmak,C1
impromptu,doğaçlama,C1
impulse,dürtü,B2
incentive,teşvik,B2
incessant,aralıksız,C1
incite,kışkırtmak,C1
incline,eğilim,B2
incoherent,tutarsız,C1
incompatible,uyumsuz,B2
inconspicuous,gözden uzak,C1
incorporate,birleştirmek,B2
incur,maruz kalmak,C1
indebted,minnettar,C1
indifferent,kayıtsız,B2
indigenous,yerli,B2
indignant,öfkeli,C1
indispensable,vazgeçilmez,B2
induce,ikna etmek,C1
inept,beceriksiz,C1
inevitable,kaçınılmaz,B2
infamous,rezil,C1
inflict,vermek (acı),C1
ingenious,zeki,C1
inhabit,yaşamak,B2
inhibit,engellemek,C1
initiate,başlatmak,B2
inject,enjekte etmek,B2
innate,doğuştan gelen,C1
innovate,yenilik yapmak,B2
inquire,sormak,B1
insane,çılgın,B1
inscribe,yazmak,C1
insidious,sinsi,C1
insight,anlayış,B2
insipid,tatsız,C1
instigate,kışkırtmak,C1
instinct,içgüdü,B1
insulate,yalıtmak,C1
intact,bozulmamış,B2
integrate,bütünleştirmek,B2
intelligible,anlaşılır,C1
intense,yoğun,B1
intercept,kesmek,C1
interfere,karışmak,B1
intermittent,aralıklı,C1
intersect,kesişmek,C1
intimidate,gözünü korkutmak,B2
intricate,karmaşık,C1
intrigue,entrika,C1
invade,işgal etmek,B1
invaluable,paha biçilmez,C1
invoke,çağırmak,C1
irate,öfkeli,C1
ironic,ironik,B2
irrational,akıl dışı,B2
irrelevant,alakasız,B2
irresistible,karşı konulmaz,C1
irritate,sinirlendirmek,B1
isolate,tecrit etmek,B1
itch,kaşınmak,B1
jab,dürtmek,C1
jeopardize,tehlikeye atmak,C1
jerk,sarsmak,B1
jostle,itmek,C1
jot,not almak,C1
jubilant,neşeli,C1
judicious,akıllı,C1
jumble,karmaşa,C1
jumpy,gergin,C1
juncture,kavşak,C1
justified,haklı,B2
juvenile,genç,B2
keen,hevesli,B1
kneel,diz çökmek,B1
knit,örgü örmek,B1
lament,ağıt yakmak,C1
lash,kırbaçlamak,C1
latent,gizli,C1
laud,övmek,C1
lavish,savurgan,C1
lax,gevşek,C1
leap,sıçramak,B1
lecture,ders vermek,B1
leery,şüpheci,C1
legitimate,meşru,B2
lenient,yumuşak,B2
lethal,ölümcül,C1
lethargic,uyuşuk,C1
liable,sorumlu,B2
liberate,özgürleştirmek,B2
linger,oyalamak,C1
litter,çöp,B1
loathe,nefret etmek,C1
locate,yerini belirlemek,B1
lofty,yüksek,C1
lonesome,yalnız,B1
loot,yağmalamak,C1
lucid,açık,C1
lucrative,kazançlı,C1
ludicrous,saçma,C1
lull,sakinleştirmek,C1
luminous,parlak,C1
lunge,hamle yapmak,C1
lure,cezbetmek,B2
lurk,gizlenmek,C1
lustrous,parlak,C1
luxurious,lüks,B1
lyric,lirik,B1
macabre,ürkütücü,C1
macerate,yumuşatmak,C1
madden,çıldırtmak,C1
magnify,büyütmek,C1
malice,kötü niyet,C1
mammoth,devasa,C1
mandatory,zorunlu,B2
maneuver,manevra,B2
mangle,parçalamak,C1
mania,çılgınlık,C1
manipulate,yönlendirmek,B2
mar,bozmak,C1
marvel,harika,B1
massacre,katliam,C1
mature,olgun,B1
maul,parçalamak,C1
meager,az,C1
meander,dolaşmak,C1
meddle,karışmak,B2
mediate,arabuluculuk yapmak,B2
meek,uysal,C1
melancholy,melankoli,C1
menace,tehdit,B2
mend,onarmak,B1
merit,erdem,B2
mesmerize,büyülemek,C1
migrate,göç etmek,B1
mimic,taklit etmek,B2
mince,kıymak,C1
mingle,karışmak,B2
miraculous,mucizevi,C1
mischief,yaramazlık,B2
miserable,sefil,B1
misery,sefalet,B2
mishap,kaza,B2
mislead,yanıltmak,B2
mitigate,hafifletmek,C1
moan,inlemek,B1
mock,alay etmek,B1
moderate,ılımlı,B2
modify,değiştirmek,B1
molest,taciz etmek,C1
momentous,önemli,C1
monitor,izlemek,B1
mope,keyifsiz olmak,C1
morale,moral,B2
mortal,ölümlü,C1
mortify,mahcup etmek,C1
motionless,haraketsiz,C1
mottled,benekli,C1
mourn,yas tutmak,B2
muddle,kafa karışıklığı,C1
muffle,susturmak,C1
mumble,mırıldanmak,B1
murky,karanlık,C1
muse,düşünmek,C1
muster,toplamak,C1
mute,sessiz,B1
mutter,mırıldanmak,B1
mystify,şaşırtmak,C1
nag,dırdır etmek,C1
navigate,yön bulmak,B1
needy,yoksul,B2
neglect,ihmal etmek,B1
negotiate,müzakere etmek,B1
nibble,kemirmek,B1
nimble,çevik,C1
nomadic,göçebe,C1
nonchalant,kayıtsız,C1
notable,dikkate değer,B2
notify,bildirmek,B1
nourish,beslemek,B2
nudge,dürtmek,C1
nullify,geçersiz kılmak,C1
numb,hisiz,B1
nurture,bakım,B2
oath,yemin,B2
obese,şişman,B2
obey,itaat etmek,A1
object,itiraz etmek,B1
obligate,zorunlu kılmak,C1
obliterate,yok etmek,C1
oblivious,habersiz,C1
obnoxious,iğrenç,C1
obscure,belirsiz,B2
observe,gözlemlemek,B1
obsess,takıntı yapmak,B2
obsolete,modası geçmiş,B2
obstruct,engellemek,C1
obtain,elde etmek,B1
obvious,açık,A2
occupy,işgal etmek,B1
odor,koku,B1
offend,gücendirmek,B1
offset,dengelemek,B2
omen,alamet,C1
omit,atlamak,B2
ooze,sızmak,C1
oppress,baskı yapmak,B2
opt,seçmek,B2
optimistic,iyimser,B1
orbit,yörünge,B1
ordain,emretmek,C1
orient,yönlendirmek,B2
originate,kaynaklanmak,B2
oust,kovmak,C1
outbreak,patlak verme,B2
outfit,giyim,B1
outrage,öfke,B2
outskirts,banliyö,B2
outspoken,açık sözlü,B2
outweigh,ağır basmak,C1
overcast,kapalı (hava),B1
overcome,üstesinden gelmek,B1
overdue,gecikmiş,B2
overflow,taşmak,B2
overhaul,gözden geçirmek,C1
overhear,istemeden duymak,C1
overlap,örtüşmek,B2
overlook,gözden kaçırmak,B2
overpower,aşırı güç,C1
overrate,abartmak,C1
overrule,reddetmek,C1
overt,açık,C1
overtake,yakalamak,B2
overthrow,devirmek,C1
overturn,devirmek,C1
overwhelm,boğmak,B2
overwrought,aşırı heyecanlı,C1
owe,borçlu olmak,B1
pacify,yatıştırmak,C1
pact,anlaşma,B2
pamper,şımartmak,C1
panic,panik,B1
paralyze,felç etmek,C1
paraphrase,ifadeyi değiştirerek söylemek,B2
parched,kavrulmuş,C1
parry,savurmak,C1
partake,katılmak,C1
partial,kısmi,B2
passionate,tutkulu,B2
patronize,küçümsemek,C1
pause,durdurmak,A1
peck,gagalamak,B1
peculiar,garip,B1
peddle,sepetlemek,C1
peek,göz atmak,B1
peel,soymak,A1
peep,gizlice bakmak,B1
peer,eşit,B1
penalize,cezalandırmak,B2
penetrate,içine işlemek,B2
pensive,düşünceli,C1
perceive,algılamak,B2
perch,tünek,C1
peril,tehlike,C1
perish,yok olmak,C1
perk,canlanmak,C1
permeate,işlemek,C1
permit,izin vermek,A2
perpetrate,işlemek (suç),C1
perplex,şaşırtmak,C1
persecute,zulmetmek,C1
persevere,sebat etmek,C1
persist,ısrar etmek,B2
persuade,ikna etmek,B1
pertain,ilgili olmak,C1
perturb,rahatsız etmek,C1
peruse,gözden geçirmek,C1
pester,rahatsız etmek,C1
petition,dilekçe,B2
petrify,taşlaştırmak,C1
phase,aşama,B1
philanthropy,insan sevgisi,C1
pierce,delmek,B1
pile,yığın,B1
pinch,sıkıştırmak,B1
pine,özlemek,C1
pinnacle,zirve,C1
pioneer,öncü,B2
pirate,korsan,B1
pitfall,tuzak,C1
pivot,eksen,C1
placate,yatıştırmak,C1
plagiarize,aşırmak,C1
plague,belâ,C1
plaintiff,davacı,C1
plausible,inandırıcı,B2
plead,yalvarmak,B2
pledge,söz vermek,B2
plight,zor durum,C1
plod,ağır aksak yürümek,C1
pluck,koparmak,B1
plummet,dibe vurmak,C1
plunder,yağmalamak,C1
plunge,dalmak,B2
poignant,iç burkan,C1
poise,dengede tutmak,C1
poke,dürtmek,B1
polish,cila,B1
pollute,kirletmek,B1
ponder,düşünmek,B2
populate,yerleşmek,B2
portray,betimlemek,B2
pose,poz vermek,B1
postpone,ertelemek,B1
pounce,atlamak,C1
pout,somurtmak,B1
praise,övmek,A2
prance,hoplamak,C1
prattle,gevezelik etmek,C1
preach,vaaz vermek,B2
precarious,istikrarsız,C1
precede,önce gelmek,B2
precipitate,çöktürmek,C1
preclude,engellemek,C1
predicament,zor durum,C1
predispose,yatkın hale getirmek,C1
predominate,hakim olmak,C1
preface,önsöz,B2
prejudice,önyargı,B1
preliminary,ön,B2
premature,erken,B2
preoccupy,meşgul etmek,C1
prescribe,yazmak (reçete),B1
preside,başkanlık etmek,C1
presume,varsaymak,B2
pretend,yapar gibi görünmek,A2
pretext,bahane,B2
prevail,üstün gelmek,B2
prevalent,yaygın,B2
prey,av,B1
prick,iğnelemek,B1
primary,birincil,B1
prime,baş,B1
prior,öncelikli,B2
probe,soruşturmak,B2
proceed,devam etmek,B1
proclaim,ilan etmek,B2
procure,tedarik etmek,C1
prod,dürtmek,C1
profound,derin,B2
prohibit,yasaklamak,B1
project,proje,A1
proliferate,çoğalmak,C1
prolong,uzatmak,B2
prominent,önemli,B2
promote,terfi ettirmek,B1
prone,eğilimli,B2
propagate,yaymak,C1
propel,ilerletmek,C1
prophesy,kehanet etmek,C1
propose,öneride bulunmak,A2
prosecute,kovuşturmak,B2
prosper,refah içinde olmak,B2
prostrate,yere kapanmış,C1
protract,uzatmak,C1
protrude,dışarı çıkmak,C1
provoke,kışkırtmak,B2
prowl,dolaşmak,C1
prune,budamak,C1
pry,gözetlemek,C1
pucker,büzüşmek,C1
puff,üflemek,B1
pulverize,toz haline getirmek,C1
pump,şişirmek,B1
punch,yumruk atmak,B1
punish,cezalandırmak,A2
purchase,satın almak,A2
purge,tasfiye etmek,C1
pursue,peşinden gitmek,B1
quaint,tuhaf,B2
quake,titremek,B1
qualify,nitelik kazanmak,B1
quarrel,tartışmak,B1
quash,bastırmak,C1
quaver,titremek,C1
quell,bastırmak,C1
quench,söndürmek,B2
query,sorgulamak,B2
quibble,kelime oyunu yapmak,C1
quiver,titremek,B2
quota,kota,B2
quote,alıntı yapmak,A2
rack,raf,B1
radiate,yaymak,B2
ragged,eski püskü,C1
raid,baskın,B1
rally,toplanmak,B2
ramble,amaçsızca dolaşmak,C1
ransack,altını üstüne getirmek,C1
rant,bağırıp çağırmak,C1
ratify,onaylamak,B2
ration,pay,B2
rattle,gürültü yapmak,B1
ravage,tahrip etmek,C1
rave,çılgınca konuşmak,C1
ravish,büyülemek,C1
raze,yıkmak,C1
reap,biçmek,B2
reassure,güven vermek,B2
rebuke,azarlamak,B2
rebut,çürütmek,C1
recall,hatırlamak,B1
recede,geri çekilmek,B2
reciprocate,karşılık vermek,C1
recite,ezberden okumak,B1
reckon,hesaplamak,B2
reclaim,geri almak,B2
recline,yaslanmak,C1
recoil,geri çekilmek,C1
recollect,hatırlamak,B2
recommend,tavsiye etmek,A2
reconcile,uzlaştırmak,B2
recoup,karşılamak,C1
recruit,işe almak,B1
rectify,düzeltmek,B2
redeem,kurtarmak,B2
redo,yeniden yapmak,B1
reduce,azaltmak,A2
reek,kötü kokmak,B2
refer,atıfta bulunmak,A2
refine,arıtmak,B2
refrain,kaçınmak,B2
refund,geri ödeme,B1
regain,geri kazanmak,B2
regress,gerilemek,C1
regret,pişman olmak,A2
regulate,düzenlemek,B1
rehabilitate,rehabilite etmek,B2
reign,hüküm sürmek,B2
reimburse,geri ödemek,B2
reinforce,güçlendirmek,B1
reiterate,tekrarlamak,B2
reject,reddetmek,A2
rejoice,sevinmek,B2
relapse,nüksetmek,C1
relay,iletmek,B2
release,serbest bırakmak,A2
relent,yumuşamak,C1
relieve,rahatlatmak,B1
relinquish,vazgeçmek,C1
relish,zevk almak,B2
relocate,taşınmak,B2
remainder,kalan,B2
remand,gözaltına almak,C1
remarkable,dikkat çekici,B1
remedy,çare,B1
remit,göndermek (para),C1
remorse,pişmanlık,B2
remove,kaldırmak,A2
render,sunmak,B2
renew,yenilemek,B1
renounce,reddetmek,C1
renovate,yenilemek,B2
renown,ün,C1
repay,geri ödemek,B1
repeal,yürürlükten kaldırmak,B2
repel,itmek,B2
repent,pişman olmak,B2
rephrase,farklı şekilde ifade etmek,B2
replace,yerine koymak,A2
replenish,yenilemek,C1
replicate,kopyalamak,B2
report,rapor vermek,A1
repose,dinlenme,C1
repress,bastırmak,C1
reprimand,azarlamak,C1
reproach,azarlamak,B2
reproduce,çoğaltmak,B1
repudiate,reddetmek,C1
repulse,itmek,C1
request,rica etmek,A2
require,gerektirmek,A2
rescind,iptal etmek,C1
rescue,kurtarmak,A2
resemble,benzemek,A2
resent,gücenmek,B2
reside,ikamet etmek,B2
resign,istifa etmek,B1
resist,direnmek,B1
resolve,çözmek,B1
resort,başvurmak,B2
respect,saygı duymak,A1
respond,yanıt vermek,A2
restrain,zaptetmek,B2
restrict,kısıtlamak,B1
result,sonuçlanmak,A1
resume,devam etmek,B1
retain,muhafaza etmek,B2
retaliate,intikam almak,C1
retard,yavaşlatmak,C1
retire,emekli olmak,A2
retort,karşılık vermek,C1
retract,geri çekmek,C1
retreat,geri çekilmek,B1
retrieve,geri almak,B2
reveal,ortaya çıkarmak,A2
revere,hürmet etmek,C1
reverse,tersine çevirmek,B1
revise,gözden geçirmek,B1
revive,canlandırmak,B2
revoke,geri almak,B2
revolt,isyan etmek,B2
revolve,dönmek,B1
reward,ödüllendirmek,A2
rid,kurtarmak,B1
ridicule,alay etmek,B2
rig,donatmak,C1
rinse,çalkalamak,B1
riot,isyan çıkarmak,B1
ripen,olgunlaşmak,B2
ripple,dalgalanmak,C1
rise,yükselmek,A2
risk,riske atmak,A2
rival,rakip,B1
roam,dolaşmak,B2
roar,kükremek,B1
rob,soymak,A2
rotate,döndürmek,B1
rouse,uyandırmak,C1
rub,ovmak,A2
ruffle,karıştırmak,C1
ruin,mahvetmek,B1
rule,yönetmek,A2
rummage,karıştırmak,C1
rupture,yırtılma,C1
rush,acele etmek,A2
rust,paslanmak,B1
sack,kovmak,B2
sacrifice,fedakarlık etmek,B1
saddle,eyer,B1
safeguard,korumak,B2
sag,sarkmak,B2
sail,yelken açmak,A2
sally,çıkış yapmak,C1
salute,selamlamak,B1
salvage,kurtarmak,B2
sample,örneklemek,B1
sanction,yaptırım uygulamak,B2
sap,zayıflatmak,C1
sate,doyurmak,C1
saturate,doyurmak,B2
savage,vahşi,B2
save,kurtarmak,A1
savor,tadını çıkarmak,B2
scald,haşlamak,B1
scale,ölçek,B1
scamper,koşuşturmak,C1
scan,taramak,B1
scare,korkutmak,A2
scatter,dağıtmak,B1
scent,koku,B1
schedule,programlamak,A2
scoff,alay etmek,B2
scold,azarlamak,B1
scoop,kepçe,B1
scorch,kavurmak,B1
scorn,küçümseme,B2
scour,araştırmak,C1
scout,keşif yapmak,B1
scowl,kaş çatmak,B1
scramble,tırmanmak,B2
scrap,parça,B1
scrape,kazımak,B1
scratch,kaşımak,A2
scream,çığlık atmak,A2
screech,çığlık atmak,B1
screen,taramak,B1
screw,vida,B1
scribble,karalamak,B1
scrub,ovalamak,B1
scrutiny,inceleme,B2
sculpt,heykel yapmak,B1
scurry,koşuşturmak,B2
seal,mühürlemek,B1
sear,kavurmak,B1
season,baharatlamak,B1
secede,ayrılmak,C1
seclude,tecrit etmek,C1
secure,güvence altına almak,B1
sedate,sakin,B2
seduce,baştan çıkarmak,B2
seep,sızmak,B2
seethe,kaynamak,C1
segregate,ayırmak,B2
seize,zaptetmek,B1
select,seçmek,A2
sentence,ceza vermek,A2
separate,ayırmak,A2
sever,koparmak,B2
sew,dikmek,A2
shade,gölgelendirmek,A2
shake,sallamak,A1
shame,utandırmak,A2
shape,şekil vermek,A2
share,paylaşmak,A1
sharpen,bilemek,B1
shatter,paramparça etmek,B2
shear,kırpmak,B1
shed,dökmek,B1
shelter,barınak,A2
shield,kalkan,B1
shift,değiştirmek,A2
shiver,titremek,B1
shock,şok etmek,A2
shore,kıyı,A2
shorten,kısaltmak,B1
shout,bağırmak,A1
shove,itmek,B1
shower,duş almak,A1
shred,parçalamak,B1
shrink,küçülmek,B1
shrug,omuz silkmek,B1
shudder,ürpermek,B2
shuffle,karıştırmak,B1
shun,kaçınmak,B2
shut,kapatmak,A1
shutter,kepenk,B1
sift,elemek,B1
sigh,iç çekmek,A2
sign,imzalamak,A1
signal,sinyal vermek,A2
simmer,kaynamak,B1
simplify,basitleştirmek,B1
sin,günah işlemek,B1
singe,hafifçe yakmak,B1
sink,batmak,A2
sip,yudumlamak,B1
sit,oturmak,A1
sketch,kroki çizmek,B1
skim,kaymak,B1
skip,atlamak,A2
skirt,etrafından dolaşmak,B2
slacken,gevşetmek,B2
slam,çarpmak,B1
slap,şamar atmak,B1
slash,kesmek,B1
slaughter,katletmek,B2
slay,öldürmek,B2
slice,dilimlemek,A2
slide,kaymak,A2
sling,fırlatmak,B1
slink,sinsice gitmek,C1
slip,kaymak,A2
slit,yarmak,B1
slope,yokuş,A2
slouch,kambur durmak,B1
slump,düşüş,B2
smash,parçalamak,B1
smear,bulaştırmak,B1
smell,koklamak,A1
smile,gülümsemek,A1
smite,vurmak,B2
smoke,sigara içmek,A1
smolder,körüklenmek,B1
smooth,düzeltmek,A2
smother,boğmak,B2
smuggle,kaçakçılık yapmak,B2
snag,takılmak,B1
snap,koparmak,B1
snare,tuzak,B1
snarl,hırlamak,B1
snatch,kapmak,B1
sneak,gizlice girmek,B1
sneer,alay etmek,B2
sneeze,hapşırmak,A2
sniff,koklamak,B1
snore,horlamak,A2
snort,homurdanmak,B1
snow,kar yağmak,A1
soak,ıslamak,A2
soar,yükselmek,B2
sob,hıçkırmak,B1
soften,yumuşatmak,B1
soil,kirletmek,B1
solve,çözmek,A2
soothe,yatıştırmak,B2
sort,sıralamak,A2
sound,ses çıkarmak,A1
sow,ekmek,B1
span,kapsamak,B2
spare,ayırmak,A2
spark,kıvılcım,B1
sparkle,parıldamak,B1
speak,konuşmak,A1
speculate,tahmin yürütmek,B2
speed,hızlanmak,A2
spell,hecelemek,A2
spend,harcamak,A1
spill,dökmek,A2
spin,dönmek,A2
spit,tükürmek,B1
splash,sıçratmak,B1
split,ayırmak,A2
spoil,şımartmak,A2
sponsor,sponsor olmak,B1
spoon,kaşıkla vermek,A2
spot,fark etmek,A2
spray,püskürtmek,B1
spread,yaymak,A2
spring,havlamak,B1
sprout,filizlenmek,B1
spur,dürtmek,B2
spy,casusluk yapmak,B1
squash,ezmek,B1
squat,çömelmek,B1
squeak,gıcırdamak,B1
squeeze,sıkmak,A2
stab,bıçaklamak,B1
stabilize,istikrar sağlamak,B2
stack,istiflemek,B1
stagger,sendelemek,B2
stain,lekelemek,A2
stake,kazık,B1
stale,bayat,B1
stall,oyalanmak,B1
stammer,kekelemek,B1
stamp,pul yapıştırmak,A2
stand,ayakta durmak,A1
stare,bakmak,A2
startle,ürpertmek,B2
starve,açlıktan ölmek,B1
state,beyan etmek,A2
station,konuşlandırmak,B1
stay,kalmak,A1
steal,çalmak,A1
steer,yönlendirmek,B1
step,adım atmak,A1
stick,yapıştırmak,A2
stiffen,sertleşmek,B1
stifle,boğmak,B2
stimulate,teşvik etmek,B2
sting,sokmak,B1
stink,kokmak,B1
stir,karıştırmak,A2
stitch,dikmek,B1
stock,stoklamak,B1
stoop,eğilmek,B1
stop,durdurmak,A1
store,depolamak,A2
strain,zorlamak,B1
strap,kayış,B1
stray,sapmak,B1
strengthen,güçlendirmek,B1
stress,vurgulamak,A2
stretch,uzatmak,A2
stride,uzun adımlarla yürümek,B1
strike,vurmak,A2
strip,soymak,B1
strive,çabalamak,B2
stroke,okşamak,B1
stroll,gezinmek,B1
structure,yapılandırmak,B1
struggle,mücadele etmek,A2
stuff,tıkmak,A2
stumble,tökezlemek,B1
stun,şaşırtmak,B1
stunt,dublörlük yapmak,B1
subdue,zaptetmek,B2
subject,maruz bırakmak,B2
submerge,dalmak,B2
submit,teslim etmek,A2
subordinate,ast,B2
subscribe,abone olmak,A2
subside,yatışmak,B2
subsidize,sübvanse etmek,B2
substitute,yedek,B1
subtract,çıkarmak,A2
succeed,başarmak,A1
succumb,direnememek,B2
suck,emmek,A2
sue,dava açmak,B1
suffer,acı çekmek,A2
suffice,yeterli olmak,B2
suggest,önermek,A1
suit,uymak,A2
summarize,özetlemek,A2
summon,çağırmak,B1
supervise,denetlemek,B1
supplement,takviye etmek,B1
supply,tedarik etmek,A2
support,desteklemek,A1
suppose,varsaymak,A2
suppress,bastırmak,B2
surface,yüzeye çıkmak,A2
surge,dalgalanmak,B2
surmount,üstesinden gelmek,B2
surpass,aşmak,B2
surprise,şaşırtmak,A1
surrender,teslim olmak,B1
surround,kuşatmak,A2
survey,anket yapmak,A2
survive,hayatta kalmak,A2
suspect,şüphelenmek,A2
suspend,askıya almak,B1
sustain,sürdürmek,B2
swallow,yutmak,A2
swamp,bataklık,B1
swarm,sürü halinde gitmek,B1
sway,sallanmak,B1
swear,yemin etmek,A2
sweat,terlemek,A2
sweep,süpürmek,A2
swell,şişmek,B1
swift,hızlı,B1
swim,yüzmek,A1
swing,sallanmak,A2
switch,değiştirmek,A2
swivel,döndürmek,B1
swoop,üzerine çullanmak,B1
symbolize,sembolize etmek,B2
sympathize,sempati duymak,B2
synthesize,sentezlemek,B2
systematize,sistematize etmek,B2
tabulate,tablo haline getirmek,B2
tack,zikzak yapmak,B1
tackle,üstesinden gelmek,B1
tag,etiketlemek,A2
tailor,kişiselleştirmek,B1
taint,lekelemek,B2
take,almak,A1
talk,konuşmak,A1
tally,uyuşmak,B1
tame,evcilleştirmek,B1
tamper,karıştırmak,B2
tan,taba rengine dönmek,B1
tangle,dolaştırmak,B1
tap,hafifçe vurmak,A2
tape,bantlamak,A2
target,hedef almak,A2
tarnish,karartmak,B2
task,görevlendirmek,B1
taste,tadına bakmak,A1
tatter,parçalamak,B1
taunt,alay etmek,B1
teach,öğretmek,A1
tear,yırtmak,A2
tease,alay etmek,A2
teem,kaynaşmak,B2
telephone,telefon etmek,A1
tell,söylemek,A1
tempt,ayartmak,B1
tend,eğilim göstermek,A2
term,adlandırmak,B1
terminate,sonlandırmak,B1
terrify,korkutmak,B1
test,test etmek,A1
testify,tanıklık etmek,B1
thank,teşekkür etmek,A1
thaw,erimek,B1
thicken,koyulaştırmak,B1
think,düşünmek,A1
thrash,dövmek,B1
thread,iplik geçirmek,B1
threaten,tehdit etmek,A2
thresh,dövmek,B1
thrill,heyecanlandırmak,B1
thrive,gelişmek,B2
throb,zonklamak,B1
throw,atmak,A1
thrust,itiş,B1
thump,yumruklamak,B1
thwart,engellemek,B2
tick,işaretlemek,B1
tickle,gıdıklamak,A2
tidy,toparlamak,A2
tie,bağlamak,A1
tighten,sıkılaştırmak,B1
tilt,eğmek,B1
time,zamanlamak,A2
tip,ucunu vermek,A2
tire,yormak,A2
toil,emeğiyle kazanmak,B2
tolerate,hoşgörmek,B1
tone,tonlamak,B1
top,aşmak,A2
toss,atmak,A2
total,toplamak,A2
touch,dokunmak,A1
toughen,sertleştirmek,B1
tour,turlamak,A2
tow,çekmek,B1
tower,yükselmek,A2
toy,oynamak,A2
trace,izlemek,A2
track,takip etmek,A2
trade,ticaret yapmak,A1
train,eğitmek,A1
transact,iş yapmak,B1
transfer,aktarmak,A2
transform,dönüştürmek,A2
translate,çevirmek,A2
transmit,iletmek,B1
transport,taşımak,A2
trap,tuzak kurmak,A2
travel,seyahat etmek,A1
tread,basmak,B1
treasure,hazine olarak saklamak,B1
treat,davranmak,A2
tremble,titremek,B1
trespass,izinsiz girmek,B1
trick,kandırmak,A2
trigger,tetiklemek,B1
trim,budamak,B1
trip,takılmak,A2
triumph,zafer kazanmak,B1
trivialize,önemsiz göstermek,B2
trot,tırıs gitmek,B1
trouble,rahatsız etmek,A2
truck,kamyonla taşımak,A2
trudge,ağır adımlarla yürümek,B1
trumpet,boru çalmak,B1
trust,güvenmek,A1
try,denemek,A1
tuck,sıkıştırmak,A2
tug,çekiştirmek,B1
tumble,yuvarlanmak,B1
tune,akort etmek,B1
turn,dönmek,A1
tutor,özel ders vermek,B1
twist,bükmek,A2
type,yazmak,A1
uncover,ortaya çıkarmak,B1
undercut,ucuz satmak,B2
undergo,geçirmek,B1
underline,altını çizmek,A2
undermine,baltalamak,B2
understand,anlamak,A1
undertake,üstlenmek,B1
undo,geri almak,A2
unearth,ortaya çıkarmak,B1
unfasten,çözmek,B1
unfold,açmak,B1
unify,birleştirmek,B1
unite,birleşmek,A2
unleash,salmak,B2
unload,boşaltmak,A2
unlock,açmak,A2
unpack,açmak,A2
unravel,çözmek,B1
unroll,açmak,B1
untie,çözmek,A2
unveil,açığa çıkarmak,B1
update,güncellemek,A2
upgrade,yükseltmek,A2
uphold,sürdürmek,B2
upset,üzmek,A2
urge,teşvik etmek,B1
use,kullanmak,A1
usher,yol göstermek,B1
utilize,kullanmak,B1
utter,söylemek,B1
vacate,boşaltmak,B1
validate,doğrulamak,B1
value,değer vermek,A2
vanish,yok olmak,B1
vary,çeşitlilik göstermek,A2
vent,havalandırmak,B1
venture,teşebbüs etmek,B1
verify,doğrulamak,B1
veto,veto etmek,B1
vex,sinirlendirmek,B1
vibrate,titreşmek,B1
view,izlemek,A2
violate,ihlal etmek,B1
visit,ziyaret etmek,A1
visualize,gözünde canlandırmak,B1
voice,ifade etmek,A2
void,geçersiz kılmak,B1
volunteer,gönüllü olmak,A2
vomit,kusmak,A2
vote,oy vermek,A1
